date,tenor_days,rate_pct,amount_yi,source_url
2026-07-24,7,1.40,890,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026072408553811650/index.html
2026-07-23,7,1.40,2040,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026072308553472442/index.html
2026-07-22,7,1.40,760,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026072208543945580/index.html
2026-07-21,7,1.40,2530,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026072108522816729/index.html
2026-07-20,7,1.40,3985,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026072009014349986/index.html
2026-07-17,7,1.40,4505,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071709025367244/index.html
2026-07-16,7,1.40,6260,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071609052055487/index.html
2026-07-15,7,1.40,4265,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071508544082234/index.html
2026-07-14,7,1.40,2365,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071409063784437/index.html
2026-07-13,7,1.40,2240,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071309002690755/index.html
2026-07-10,7,1.40,200,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026071008532457148/index.html
2026-07-09,7,1.40,100,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070908502144928/index.html
2026-07-08,7,1.40,150,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070808515513786/index.html
2026-07-07,7,1.40,100,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070708485588337/index.html
2026-07-06,7,1.40,70,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070608533310621/index.html
2026-07-03,7,1.40,630,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070309000192973/index.html
2026-07-02,7,1.40,2885,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070208553671991/index.html
2026-07-01,7,1.40,1000,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026070108543872037/index.html
2026-06-30,7,1.40,695,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026063008534598115/index.html
2026-06-29,7,1.40,1575,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026062908541051907/index.html
