date,city,category,scope,district,units,area_sqm,granularity,source_url
2026-04-03,深圳,二手,住宅,全市,218,19635.35,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-03,深圳,新房,住宅,全市,83,9362.13,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-04,深圳,二手,住宅,全市,35,3348.88,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-04,深圳,新房,住宅,全市,51,5952.30,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-05,深圳,二手,住宅,全市,22,1840.63,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-05,深圳,新房,住宅,全市,30,3095.62,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-06,深圳,二手,住宅,全市,0,0.00,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-06,深圳,新房,住宅,全市,29,3217.31,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-07,深圳,二手,住宅,全市,267,24742.19,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-07,深圳,新房,住宅,全市,13,1560.66,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-08,深圳,二手,住宅,全市,244,24347.15,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-08,深圳,新房,住宅,全市,39,4809.23,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-09,深圳,二手,住宅,全市,284,28056.21,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-09,深圳,新房,住宅,全市,70,9048.08,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-10,深圳,二手,住宅,全市,254,24385.56,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-10,深圳,新房,住宅,全市,64,7164.07,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-11,深圳,二手,住宅,全市,96,9049.14,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-04-11,深圳,新房,住宅,全市,101,10828.62,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
